State,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charge,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,"General expenditure, by function:",Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
Massachusetts,"58,340,322","51,724,151","14,934,619","26,973,576","5,803,934","2,470,238","1,213,135","14,491,903","2,227,381","766,985","5,296,037","4,519,919","840,340",,"5,775,831","61,499,719","8,823,654","52,676,065","37,052,149","5,209,648","6,664,682","995,832","2,753,754","6,746,578","61,499,719","51,122,359","8,823,654","42,298,705",,"12,323,712","19,895,426","760,148","928,106","3,164,073","577,613","1,378,933","312,653","192,979","2,283,661","2,398,116","5,182,999","3,750,053",,"6,664,682","72,751,021","60,571,254"
Michigan,"66,961,570","59,727,316","20,487,351","26,957,337","9,211,783","3,912,678","1,563,500","8,825,375","1,185,568","2,258,433","8,251,972","4,030,656",,"1,021,890","6,212,364","67,661,561","20,487,354","47,174,207","34,688,569","2,011,763","7,751,529","1,226,344","1,496,002","9,047,950","67,661,561","59,085,103","20,487,354","38,597,749",,"24,211,552","18,410,125","3,422,936","1,194,651","2,532,511","470,963","1,888,248","322,223","126,274","1,011,686","1,496,002","2,259,442","343,799","824,929","7,751,529","33,245,109","55,560,476"
Minnesota,"47,030,522","40,246,716","11,028,737","24,479,856","5,483,791","4,469,620","1,392,055","10,370,047","1,476,629","1,287,714","2,671,586","2,066,537","101,644",,"6,682,162","43,075,825","12,937,507","30,138,318","21,326,812","2,038,989","5,137,416","1,000,588","634,513","5,219,794","43,075,825","37,570,750","12,937,507","24,633,243",,"14,289,649","12,761,965","297,779","431,389","2,982,144","436,648","528,792","723,936","278,624","1,179,010","631,598","1,218,633","430,338",,"5,137,416","15,862,174","57,321,673"
Mississippi,"21,333,157","18,689,989","8,024,835","7,902,885","3,422,774","1,451,003","606,432","1,783,438","534,547","104,691","2,200,149","562,120",,"312,934","2,330,234","21,139,895","5,138,598","16,001,297","11,539,814","1,376,772","2,526,839","346,575","211,297","2,471,851","21,139,895","18,354,508","5,138,598","13,215,910",,"5,791,535","6,228,236","1,257,672","340,349","1,327,966","162,829","371,359","331,887","62,572","488,609","211,297","1,136,137","2,300","256,248","2,526,839","7,470,450","20,765,445"
Missouri,"34,058,252","28,144,387","10,746,184","12,005,133","3,380,034","1,704,177","596,983","5,856,131","425,776","42,032","2,943,748","2,449,322",,,"5,913,865","32,251,224","6,020,864","26,230,360","19,040,558","1,388,105","4,416,698","608,339","776,660","3,812,237","32,251,224","27,826,546","6,020,864","21,805,682",,"9,507,971","8,676,992","1,858,510","1,659,447","1,424,753","250,460","770,323","356,476","53,667","825,822","776,660","1,350,250","59,383",,"4,416,698","19,396,172","49,937,081"
Montana,"7,431,634","6,230,304","2,452,696","2,843,465",0,"603,200","350,769","1,180,478","168,039","540,979","477,253","456,890",0,"89,312","1,112,018","6,733,629","1,137,099","5,596,530","4,006,640","433,014","946,581","87,345","122,950","1,058,465","6,733,629","5,691,082","1,137,099","4,553,983",,"1,798,401","1,459,870","52,666","118,398","692,064","53,776","203,181","219,559","37,460","342,921","122,950","269,962","18,796","78,470","946,581","3,206,612","14,219,039"
Nebraska,"10,993,116","9,963,711","2,992,564","5,086,759","1,787,880","527,950","172,391","2,239,582","344,477","14,479","1,101,655","782,733",,,"1,029,405","10,375,930","2,493,977","7,881,953","6,176,148","747,469","711,592","191,847","54,897","1,478,933","10,375,930","9,664,338","2,493,977","7,170,361",,"3,593,464","2,493,798","266,398","276,120","802,515","82,705","349,077","309,208","47,176","287,246","54,897","575,970",,,"711,592","1,809,126","18,690,710"
Nevada,"16,431,567","13,062,884","4,164,928","7,532,989","4,080,507","1,958,261","649,333",0,0,"844,888","752,783","612,184","57,018",,"3,311,665","14,080,059","4,271,283","9,808,776","6,300,319","610,958","2,356,272","387,270","153,957","1,564,284","14,080,059","11,662,037","4,271,283","7,390,754",,"4,714,642","3,154,084","225,109","227,383","603,588","77,752","258,420","95,390","18,905","332,864","151,765","540,611","65,933",,"2,356,272","3,351,972","21,072,516"
New Hampshire,"8,025,097","6,558,237","2,267,872","2,487,737",0,"970,102","322,667","96,038","576,679","522,251","908,542","894,086",,"631,095","835,765","8,010,099","1,794,095","6,216,004","4,522,370","398,924","742,755","218,633","333,322","1,078,646","8,010,099","6,764,330","1,794,095","4,970,235",,"2,277,515","2,106,083","55,161","93,285","507,557","62,687","121,853","50,577","26,106","275,487","333,322","784,268","9,137","495,034","742,755","8,211,178","11,513,484"
New Jersey,"70,427,028","61,376,264","18,235,556","31,567,654","9,146,025","3,805,842","1,553,255","13,250,002","2,579,391","1,233,139","6,476,025","5,097,029","1,054,985",,"7,995,779","76,152,869","16,886,228","59,266,641","37,799,414","5,211,819","12,746,424","1,412,510","2,096,474","9,967,608","76,152,869","60,697,956","16,886,228","43,811,728",,"22,285,616","17,094,670","2,051,020","2,874,076","3,884,642","831,284","1,471,630","558,457","238,167","2,050,824","2,095,004","3,195,641","2,708,489",,"12,746,424","67,167,455","93,690,233"
New Mexico,"19,358,968","17,347,039","7,038,303","6,009,443","2,256,088","739,601","272,008","1,381,254","249,947","1,110,545","1,683,962","2,615,331",0,,"2,011,929","20,012,259","4,857,607","15,154,652","11,203,766","1,194,021","2,195,410","292,723","268,732","2,435,539","20,012,259","17,816,434","4,857,607","12,958,827",,"5,840,534","5,689,510","1,027,289","314,763","781,409","145,509","456,721","223,607","58,898","523,592","268,732","942,409","12,218",,"2,195,410","6,738,313","35,529,652"
New York,"195,501,203","156,767,158","52,665,049","78,201,753","13,104,421","10,828,096","1,764,149","43,709,832","5,084,187","3,711,068","10,377,889","15,522,467","8,673,969",,"30,060,076","189,878,434","59,697,563","130,180,871","88,452,471","12,892,707","20,979,174","2,097,855","5,758,664","17,110,282","189,878,434","151,427,270","59,697,563","91,729,707",,"43,024,231","58,001,659","5,006,495","8,271,505","5,410,357","904,891","3,075,600","527,447","683,057","6,093,233","4,225,537","8,896,907","23,373,892",,"20,979,174","143,880,477","270,515,576"
North Carolina,"57,425,178","52,382,009","18,446,859","25,084,225","6,862,578","3,871,281","1,755,328","11,197,650","1,330,223","67,165","5,363,174","3,487,751","1,331",,"5,041,838","54,871,243","14,115,835","40,755,408","29,814,909","3,419,090","5,715,026","1,144,103","662,280","7,313,317","54,871,243","49,010,718","14,115,835","34,894,883",,"19,912,132","14,560,381","1,804,269","1,343,179","3,791,251","506,044","1,270,111","448,788","172,496","1,664,527","662,280","1,972,407","252,341",,"5,715,026","17,514,428","89,384,432"
North Dakota,"9,798,229","8,799,605","1,671,217","5,736,355","1,389,083","546,733","225,540","536,131","186,039","2,852,829","790,095","601,938",,,"998,624","7,941,790","2,246,825","5,694,965","3,796,584","1,014,130","692,070","110,521","81,660","1,043,347","7,941,790","7,161,778","2,246,825","4,914,953",,"2,307,999","1,385,251","52,200","129,752","1,221,559","37,021","91,486","210,335","30,731","193,548","81,660","623,313","180,031",,"692,070","2,063,788","22,842,707"
Ohio,"83,104,911","64,376,296","23,180,291","28,297,156","11,900,176","5,314,229","2,171,231","8,882,973","2,586","25,961","8,383,534","4,515,315",,"982,337","17,746,278","82,701,205","17,886,901","64,814,304","40,521,079","4,785,910","16,658,502","1,540,174","1,308,639","7,748,232","82,701,205","65,287,289","17,886,901","47,400,388",,"22,208,885","25,344,578","3,047,779","1,664,178","4,226,330","360,237","1,589,278","380,165","96,378","1,970,997","1,308,639","1,845,572","37,716","755,412","16,658,502","33,108,954","143,239,326"
Oklahoma,"25,230,869","21,954,067","7,179,836","9,692,601","2,682,008","1,350,080","1,055,808","3,641,429","388,530","574,746","2,699,379","2,382,251","679,827",,"2,596,975","24,156,873","4,371,330","19,785,543","14,000,267","2,221,135","2,601,486","501,566","461,089","3,266,444","24,156,873","20,704,332","4,371,330","16,333,002",,"7,672,357","6,693,834","216,162","824,036","2,153,834","181,741","567,034","302,768","66,307","712,632","386,691","715,259","866,532",,"2,601,486","8,918,175","33,534,924"
Oregon,"35,531,026","28,091,744","9,957,128","10,577,079",0,"1,498,647","988,932","7,309,115","621,727","158,658","5,333,261","2,224,276",799,"1,087,630","6,350,853","34,495,603","5,212,949","29,282,654","21,923,919","1,482,473","5,099,403","498,600","278,259","3,903,663","34,495,603","28,688,736","5,212,949","23,475,787",,"8,997,319","9,870,345","2,150,063","607,119","1,202,683","176,304","777,917","520,863","106,902","1,565,059","278,259","2,210,493","87,588","670,368","5,099,403","13,061,182","61,209,900"
Pennsylvania,"87,569,420","74,712,857","23,044,734","36,110,311","9,865,270","8,504,539","2,222,062","11,488,974","2,510,136","1,519,330","10,627,891","4,929,921",,"1,862,270","10,994,293","90,222,271","19,630,417","70,591,854","47,408,472","7,610,961","11,818,698","2,319,822","1,433,901","9,710,531","90,222,271","76,641,318","19,630,417","57,010,901",,"24,204,413","24,655,737","4,231,964","3,086,492","8,303,811","1,052,778","2,099,219","702,695","304,763","2,970,450","1,433,901","2,141,437","1,160,269","1,762,255","11,818,698","47,920,479","94,056,142"
